Toxin - Acetaminophen, N-Acetylcysteine 
Toxin - AChE inhibitors and organaphostates, Atropine > pralidoxime
Toxin - Amphetamines(basic) , NH4 Cl ( acidify urine)
Toxin - Antimusecarinic comma antichorigenic agents , Physotigimine comma control hypothermia
Toxin - Arsenic, Dimercaprol comma succimer
Toxin - Benzodiapines, Flumazenil
Toxin - Beta - Blockers , Saline comma atropine comma glucagon
Toxin - Carbon mono oxide,  100% oxyen comma hyperbaric O2
Toxin - Copper , Penicillamine comma trientine
Toxin - Cyanide , Nitrite + thio sulphate comma hydroxocobalamin
Toxin - Digitalis (digoxin) , Anti-dig Fab fragments
